,Postal Code,City,State,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
380,26161,Petroleum,WV,C-,C+,A+,B,C-,C+,D+,C+,NG,A,C,C+,D-
381,33901,Fort Myers,FL,A,B+,C+,C+,A,B+,A,B,A+,B,A,A,A
383,59928,Polebridge,MT,C,B-,B,C-,C+,D,C+,B+,C-,C,B,B,B-
386,32951,Melbourne Beach,FL,A-,A+,C,B-,B+,B+,B-,B-,A+,C+,B+,B-,A-
387,41660,Teaberry,KY,C-,B,B+,A-,C-,B,C-,C+,B,A,C-,C+,D-
389,16240,Mayport,PA,C+,C+,A-,B+,A-,C+,C,B+,C,A-,C,C+,C+
390,38135,Memphis,TN,B+,B,C-,B,B,B+,A,B+,B+,B,B,B+,B-
391,12733,Fallsburg,NY,C-,C,B-,D+,C,C,B+,B-,C,C+,B,B,B-
392,87049,San Fidel,NM,C,C-,B-,B+,C+,C,NG,C-,C,A-,C+,C,B
393,78949,Muldoon,TX,B,B+,B-,A,C-,B+,B-,A,A-,A,C+,C+,C+
394,68875,Scotia,NE,C+,C+,NG,A-,B-,B-,C,B,NG,A,C-,C,C+
395,54101,Abrams,WI,C+,B+,B+,B,B-,B-,C+,B+,C,B+,C+,B-,C+
397,58581,Zeeland,ND,B-,C+,A+,A-,B+,B-,C,A-,NG,A-,C,D-,B-
398,95350,Modesto,CA,B,B-,C,C,A-,B-,A,C-,B,C+,A,A,A
399,44137,Maple Heights,OH,B-,C-,C-,C,A-,C+,A-,C,C,B+,B+,A-,A
401,73645,Erick,OK,B-,B+,B,A-,C-,B,B-,A,B,A,C,D,C+
402,06791,Harwinton,CT,B,A-,B+,B,B-,B+,C,B,C,C+,B+,B,B
404,97488,Vida,OR,C,C,C+,C-,B-,C-,B-,C-,B+,C-,B,A-,B
406,15934,Elton,PA,B-,C+,B-,A-,B,B-,D,B,D+,A-,C+,C+,B-
407,04493,West Enfield,ME,C+,C,B+,B,B-,C,C+,B-,C-,B+,B-,B-,B
408,55037,Hinckley,MN,B-,C+,NG,B-,B-,B-,NG,B,C,A-,B-,B-,A-
409,37680,Laurel Bloomery,TN,C-,C,A,C+,C-,C+,C+,C+,NG,A,C,B-,C-
410,31641,Naylor,GA,B-,B+,C+,B+,B-,B-,A-,C,A,A-,C+,C+,C-
411,18435,Lackawaxen,PA,C+,B+,A-,C+,C-,B,B,B+,B-,B-,B-,B,C-
412,78022,George West,TX,B,B+,B,A-,B-,B,A,A+,B+,A,C+,D+,C+
413,19355,Malvern,PA,A+,A+,B,B+,A-,A+,B,A-,B-,C,A,A,B+
415,62378,Versailles,IL,C,C,NG,B-,C-,C-,C+,A-,B,A,C,C-,B
417,68157,Omaha,NE,A-,B+,B+,A-,B,A,A-,A,B-,A-,B-,A,B-
418,19966,Millsboro,DE,B,B,B-,B-,B+,B-,A-,B-,B,B+,B,B-,A-
419,24239,Davenport,VA,C-,C-,A+,B,C-,C,D,C+,NG,A,B-,C+,C-
420,48371,Oxford,MI,A-,B+,B,B+,A-,A-,C+,B+,C+,B+,A-,A-,B-
421,03307,Loudon,NH,C,C+,B+,C+,B-,C,C+,B-,C,C+,B-,B,C+
422,25670,Delbarton,WV,C+,C,B,B+,B-,C+,C,C-,A-,A,C-,C+,B
423,05826,Craftsbury,VT,B,B-,A,B,C,B+,B-,B,D+,B-,C+,A-,B
424,13774,Fishs Eddy,NY,C-,C-,B+,C,C,C,C-,C+,C,B+,B-,A-,C-
425,52554,Eldon,IA,C,C,C+,B,B,C-,C+,B-,B+,A,C,C-,C+
426,13780,Guilford,NY,C+,C+,B+,B+,B-,C+,B-,B,C-,B+,C+,B-,C+
427,10550,Mount Vernon,NY,C+,C-,B,D-,A,C,A-,D-,B-,C-,A,A,A
429,26519,Albright,WV,C,D+,A+,B,C,C+,C,B,C-,A,C-,B-,C+
430,40953,Hinkle,KY,C-,C,C+,B-,C+,C,C-,C+,B-,A,C-,C+,C-
432,51579,Woodbine,IA,B,B-,B+,A-,B+,B+,C+,A-,B-,A,C+,B-,B-
434,16142,New Wilmington,PA,B,B+,B-,B,B,B,C+,B+,C,B,B-,B+,A-
437,54150,Neopit,WI,C+,D+,NG,B-,B,C+,NG,B,C,A,C-,C+,B+
438,68974,Ruskin,NE,B-,B-,A,A,B-,B-,C+,B+,C+,A+,C,C,C+
439,99338,Kennewick,WA,A-,B,B,A-,B-,A-,B,A,B-,B-,A-,B-,A-
440,86025,Holbrook,AZ,B,B,B-,B+,A-,B,NG,B+,C,A-,C+,B-,A-
441,54736,Durand,WI,B,B+,A,B+,A-,A-,C+,B+,C+,A-,C,B-,B
442,81030,Cheraw,CO,C,C+,B,C+,B-,C,B-,D,C-,A-,B-,C,C+
443,08533,New Egypt,NJ,B-,B,B+,C+,B-,B-,B-,A-,B,C,B,B,A-
444,63501,Kirksville,MO,A,B+,B-,B+,A,B+,B-,B-,B+,A-,B+,C+,A
445,39111,Magee,MS,B-,C,A,B-,B,B-,A-,C+,B,A-,C+,C,B
447,42320,Beaver Dam,KY,B-,C+,A-,B+,B,B-,C+,A-,B,A,C,C+,B
448,42259,Mammoth Cave,KY,B,B,A,A,B,B,B,B,B+,A,C,C+,B-
452,04330,Augusta,ME,B,C+,B-,B-,A-,B-,B-,B,C,B,A-,B,B
456,57051,Oldham,SD,B-,C+,NG,B,B-,B-,B-,A+,C+,A+,C,C+,B-
458,98418,Tacoma,WA,B,B-,C,C,A-,B,A+,C+,B,C+,B+,A,A-
459,32962,Vero Beach,FL,A-,B+,B-,B+,B-,A-,A,B-,A+,A-,A,A-,B+
460,52255,Lowden,IA,B,C+,A,B+,A-,B,B-,B+,B,A,C+,B-,B
461,08406,Ventnor City,NJ,B-,B-,C+,D-,B,C+,A,C-,B,C-,B+,B+,A
462,80922,Colorado Springs,CO,A-,B-,C+,B,A,B+,B+,B+,B-,C+,A,A-,A-
464,81242,Poncha Springs,CO,B-,B+,B+,C,B,B-,B+,B-,C+,C+,B+,C+,C+
465,83328,Filer,ID,C,C,B-,B-,C,C,B-,A-,C,B-,B,C,B
466,04658,Milbridge,ME,C+,C,B,C+,B-,C+,B-,C,C,B,B-,B-,C+
467,71030,Gloster,LA,B-,A-,C-,B,C,B,A,B+,B+,A-,C-,C+,C-
468,55374,Rogers,MN,A-,B+,C+,B+,B,A,C+,A,C,B,A,A,B
469,62951,Johnston City,IL,B-,C,B,B,A-,C+,C+,B-,B-,A,C+,C+,B
471,58212,Aneta,ND,B-,B+,NG,A,B-,B-,C+,A,C-,A+,C+,D,B-
472,13406,Middleville,NY,C+,B-,B,B-,B-,B-,C+,C+,C-,B,B-,B,B
473,73838,Chester,OK,C+,B-,A,A-,C,B-,NG,A+,B,A+,C,D,C-
474,60601,Chicago,IL,A+,C+,C-,C+,A-,B+,A,B+,B-,C+,A+,A-,A
475,11769,Oakdale,NY,B+,A,A-,C-,A-,B+,B-,B-,B,C-,A,A,B+
476,26681,Nettie,WV,C,C+,B,A-,C+,B-,C,D+,C-,A,C-,B-,C-
477,96110,Eagleville,CA,C+,C+,C-,B,C,C-,B,B,C+,B+,B,C-,B+
478,70124,New Orleans,LA,A,B-,D+,B-,A,B+,B,A,B,C+,B,A-,A-
479,93063,Simi Valley,CA,B+,B,B-,C-,A-,B,A,C+,A,D+,A,A,A-
480,30180,Villa Rica,GA,B+,B,C+,B+,A-,B+,A,B,B,B+,B,B+,B
481,45831,Continental,OH,B-,B+,A+,A-,C,B+,C,B-,B-,A,C,C+,B
482,50217,Paton,IA,B-,B+,B,A-,B-,B,C,A-,B-,A,C,C-,C+
486,31054,Mc Intyre,GA,B-,C+,A-,B-,C-,B-,A,B,A-,A-,C,C+,A-
487,78606,Blanco,TX,B+,A-,B-,B,B+,B,A-,A-,B+,B,B,C+,C+
488,56501,Detroit Lakes,MN,B+,B,A-,B,A-,B+,B-,B+,C-,B+,B,C+,A-
489,07660,Ridgefield Park,NJ,A-,B+,A-,C-,A,A-,A+,B-,B,C-,B+,A-,A
490,13471,Taberg,NY,C,B-,B-,B,C+,C+,C+,B-,D-,B,C+,B-,B
491,05673,Waitsfield,VT,A-,A-,B+,B-,B,A-,C+,B+,D+,C,A,B,A-
492,02464,Newton Upper Falls,MA,A+,A+,B+,B-,B,A+,A-,B,C,C-,B+,A,A
494,47586,Tell City,IN,A-,B+,A+,A-,A-,A-,C+,A-,B,A,B,B-,B+
495,27921,Camden,NC,B-,B+,NG,B-,B-,B,B,C-,B+,B-,C+,B,C+
496,92114,San Diego,CA,B-,B,B-,D+,B,B-,A+,C-,A,C-,A,A-,A-
497,75102,Barry,TX,C+,B,B-,B-,C,C+,A-,B-,A-,B+,C,C+,C+
499,64676,Rothville,MO,C,C-,A,A-,C,C+,C+,B-,B,A+,C,D+,C+
500,82513,Dubois,WY,B-,B-,B-,C+,B+,C+,B-,B+,C-,B-,B,C,B+
502,26534,Granville,WV,C+,B+,B-,B-,C+,B,C,A-,C+,A-,C+,A-,C+
503,98342,Indianola,WA,B,B+,B-,C,C,A-,B-,B-,B-,C,B-,A,A
504,61550,Morton,IL,A,A,B,A,A,A,B-,A-,B-,B+,A-,B,B+
505,56039,Granada,MN,B-,B-,B+,A-,C,B,C,A-,C+,A,C,B-,B
507,83654,New Meadows,ID,C+,C,NG,C+,B+,C+,B-,C,D+,B-,B-,B,C+
508,38006,Bells,TN,C+,B-,C-,B+,B-,B-,A-,B-,B+,A-,C,C+,C+
510,98281,Point Roberts,WA,B+,B-,B,D+,B+,B-,B-,B+,A+,C,B+,A+,A
511,63839,Cooter,MO,C,C,C-,B-,C-,C,B-,B+,B+,A,C,C+,B-
513,99620,Kotlik,AK,D+,D-,NG,B,C,D,NG,C,NG,A-,C,D-,B-
515,39851,Fort Gaines,GA,C-,D,NG,C,B-,C,B,D,A-,A-,B-,B+,C-
516,05855,Newport,VT,B,B,A,C+,A-,B+,C+,C+,D+,B-,A-,A-,B
517,39150,Port Gibson,MS,C+,C+,NG,B-,C,B-,B-,C-,A-,A-,C,C,B
518,45814,Arlington,OH,B,B-,B,A-,B-,B,C,A-,C+,A,B,B-,B
520,28071,Gold Hill,NC,C,B-,C-,B+,C,C,B-,B-,B+,A-,C,B-,C-
521,33837,Davenport,FL,B,B-,C+,B,A-,B-,A,B,A,B+,B-,C+,C+
522,92882,Corona,CA,B+,A-,C+,C-,A-,B+,A,C+,A-,C-,A,A,A-
525,94131,San Francisco,CA,A+,A-,C-,C,A,A-,A,B+,A+,C-,A+,A+,A
526,62425,Dundas,IL,C+,B,B-,A,C-,C+,C,B+,B,A,C,B-,C-
527,50171,Montezuma,IA,B+,B,B,A-,B+,B,C,A-,B,A,B-,C+,B
529,60439,Lemont,IL,A-,A-,C-,B-,A-,A-,B-,B,B-,B-,A,A-,B
530,39216,Jackson,MS,B+,C,C-,C,A,C+,A-,B,B+,B,B+,B,B
532,50864,Villisca,IA,B-,B,B-,B+,B-,B-,C+,B+,B-,A,C+,C+,C+
533,53713,Madison,WI,A,A,B-,C,A,A,A+,C,C+,B-,A,A,A
534,04624,Corea,ME,C-,B-,B+,C,C,D,C-,D,C-,C-,B,B-,C+
539,57349,Howard,SD,B+,B,NG,A,B-,A-,B-,A-,C+,A,C+,C+,B+
540,15027,Conway,PA,C+,B-,B,B,B,B-,C+,B+,C+,B+,C+,B,C+
541,25205,Uneeda,WV,D-,C,NG,C+,C-,D-,D+,D-,NG,A-,C-,B-,D-
542,80623,Gilcrest,CO,B-,C+,B,B-,B,B-,A,B+,C+,B-,B,B+,B
544,49894,Wells,MI,B-,B,B+,A-,C+,B,C,C+,C,A,C+,B+,B-
545,52328,Robins,IA,A,A,B-,A,C-,A,B-,A,B,B+,C+,C+,A-
546,16668,Patton,PA,B-,B-,B-,B+,B+,B-,C,B,D+,A-,B,B-,C+
547,78023,Helotes,TX,A,A-,C,A-,A-,B+,A,A,B+,B,A,C-,B+
548,44307,Akron,OH,C,C+,C+,C-,C,C+,C+,D,C+,B+,B,A-,B+
549,65740,Rockaway Beach,MO,B-,A-,C,B,B-,B-,B-,C+,B,A,C,C+,B
550,01525,Linwood,MA,B-,B-,B-,B,B,B+,D-,C-,C+,B-,B-,A,D-
552,28508,Albertson,NC,C,C+,C+,B,C+,B-,A-,C,B+,A,C,C+,C-
553,97322,Albany,OR,B,B-,B,C+,A-,B,B+,C+,B-,C+,B,A-,A-
554,89122,Las Vegas,NV,B+,C,C-,B-,A,B-,A+,B-,A-,B-,B,A-,A-
555,81431,Redvale,CO,C,C+,A,B-,C,C+,C+,B,C-,B-,B+,B,C+
556,38080,Ridgely,TN,B-,B,B+,B+,B-,B-,B,B,B+,A,C-,C+,C+
558,83803,Bayview,ID,C,B,B+,C-,B-,C+,C+,D-,B-,C,B-,B+,C-
560,22504,Laneview,VA,C-,C+,C+,C+,C-,D-,C+,C,A-,B,C+,B-,C-
561,72099,Little Rock Air Force Base,AR,D,C,C-,NG,C,D-,A-,NG,B+,NG,C+,B,B-
562,19454,North Wales,PA,A+,A+,B,A-,A-,A+,A-,B+,B-,C+,A,A,A-
563,63120,Saint Louis,MO,B-,C-,NG,C,A-,C+,C,C-,B,A-,B,B+,A
564,04743,Fort Kent,ME,C+,C,B,C+,A-,C,C+,C+,C-,B,B-,C-,B+
565,47574,Rome,IN,C+,B+,A+,C+,C,C,C,B-,B,B,C+,B-,D-
566,29385,Wellford,SC,B,B+,C+,B+,B,B+,A,B-,B+,A-,B-,B+,C+
568,61465,New Windsor,IL,B-,B-,A+,A-,B-,B,C,C+,B-,A,C,C+,C+
569,17344,Mc Sherrystown,PA,C+,B,B+,C,B-,B-,C+,B-,B-,B-,B,A-,C+
570,93641,Miramonte,CA,C-,C,C,C-,B-,D-,B,B+,A-,B-,B,C+,C-
571,01220,Adams,MA,B,C,B-,C+,A-,B-,C+,B-,C,B,B+,A-,A-
573,28399,White Oak,NC,C+,C-,A-,B+,C-,C+,A,C-,B+,A,C,C+,C-
575,80744,Ovid,CO,B-,B,NG,A-,B,C+,B,A-,C-,B+,B,C-,B+
576,60643,Chicago,IL,A-,C+,C-,B-,A-,B,A-,C+,B-,B,A,A,A
577,49261,Napoleon,MI,C-,C+,C,C+,C+,B-,C-,C-,C+,A,C+,B+,C-
578,73030,Davis,OK,B+,B,B,A,B+,B+,NG,A+,A-,A,C,C+,C+
579,69162,Sidney,NE,B+,B+,B+,A-,A-,B,B-,A,C,A-,B-,C-,B
580,50208,Newton,IA,B,B-,B-,B+,A-,B,B-,B+,B-,A-,C+,C+,B+
583,02740,New Bedford,MA,C+,C-,B-,D-,A,C,NG,C-,B-,C+,A-,A,A-
585,23070,Hardyville,VA,B+,A-,NG,C+,C-,B,C,B-,A-,B,B-,B-,B+
586,72051,Fox,AR,C,C,A-,A-,C+,C+,NG,B-,B,A,C,C+,C-
587,52556,Fairfield,IA,A,B,B+,A-,A-,B,B+,A-,B+,A-,A-,C-,B+
588,24486,Weyers Cave,VA,B,B,NG,B+,C,B+,C+,B+,B+,B,B,B-,C+
589,94903,San Rafael,CA,A,A,B,C-,B,A-,A-,B,A+,D+,A+,A,A
590,20769,Glenn Dale,MD,B,C-,C+,B-,C,B,A-,B,B-,B-,B+,B+,C+
592,58711,Antler,ND,C+,B-,NG,A-,C-,B-,C,B+,C-,A,C,D+,C-
596,94305,Stanford,CA,A+,A+,B-,C+,C+,A+,A,B,A-,D+,A,A,A+
597,20109,Manassas,VA,A,B+,A,C+,A,A,A+,B,B,C+,A,A,A
598,48911,Lansing,MI,A-,C+,C,C+,A,B,A+,C+,C+,B+,A,A-,A-
599,74569,Stringtown,OK,B-,B-,C+,A-,C+,B-,NG,A,B+,A,C,B,C+
600,53544,Hollandale,WI,B,B,A,A-,B-,A-,C,A-,C+,A-,B-,A-,C+
601,69133,Dix,NE,B-,B+,A+,B+,B-,B,C+,A,NG,A-,C,C-,C+
603,28372,Pembroke,NC,C+,C-,D,C+,B,C,NG,C,A,A-,C+,B+,A-
605,37143,Pegram,TN,C+,C+,B+,B,C,B,C,B,B,B+,C+,B+,B-
606,65333,Houstonia,MO,C,C+,C,B,C-,C+,C+,B,B,A,C,C,C-
607,50056,Colo,IA,B-,B-,B+,A-,B-,B-,C+,A-,B-,A-,B-,C-,C+
608,45225,Cincinnati,OH,C+,B,C-,D+,B,B-,C+,D-,B-,B+,B,A-,A
609,98936,Moxee,WA,C,C+,C,C,B-,C+,A,B-,C+,B-,B-,B-,C+
611,74560,Pittsburg,OK,C,B-,C+,B,C,C+,NG,B,A-,A,C-,C,C+
612,41006,Butler,KY,B,B-,B+,B+,B-,B,C+,A,B-,A,B-,B,B
613,05487,Starksboro,VT,B,B,A,B,C,A-,C+,B+,D+,B-,B,B,C+
614,53589,Stoughton,WI,A,B+,B-,B,A-,A,B-,B+,C+,B,A,A,A-
616,17518,Drumore,PA,C,B,B,C+,C,B-,C,B-,B-,C+,B-,A,C+
617,30413,Bartow,GA,C+,C,C,B,C-,C,A-,B-,A,A,C,C+,C+
618,73089,Tuttle,OK,B,A,B-,A,B-,B,NG,A,A-,A-,B+,C-,C
619,72851,New Blaine,AR,C,C+,B,A-,C,C,B,C,B+,A,C,C+,C-
620,90002,Los Angeles,CA,C-,C-,C,D-,B,C-,B+,D+,A,C-,A-,A,A-
621,07928,Chatham,NJ,A+,A+,A-,B-,A-,A+,B-,B+,B-,C-,A+,A,A-
622,38240,Obion,TN,C+,B-,C+,B,C,C+,C+,C+,B,A,C-,C,B
623,30621,Bishop,GA,A-,A,A,A-,C,A,B,A,B+,B,B,B-,C-
624,34785,Wildwood,FL,B+,C,C+,B-,A-,C+,A,A,A,B,B+,A-,B+
625,21215,Baltimore,MD,B-,C-,NG,C-,B,C+,B+,D+,B,B,B+,A-,A
627,91784,Upland,CA,A-,A,C,C-,A-,B+,A,B,A,C-,A,A,A-
628,10703,Yonkers,NY,B,B-,B,D-,A-,B,A+,C-,B-,C-,A,A,B+
629,29406,Charleston,SC,A-,B-,C,C+,A,B,A,C+,A-,B,A,B+,A
631,54107,Bonduel,WI,B-,B-,B+,B,A-,B-,C+,B,C,A-,B-,B-,B
632,22660,Toms Brook,VA,C+,B-,A-,B-,C,B-,B-,B-,B,B,B-,B-,C+
633,30461,Statesboro,GA,A-,B,C+,B+,B-,B+,A-,B+,A-,A-,B-,C+,A-
634,81004,Pueblo,CO,B,C+,C-,C,A-,C,A,C-,B-,B,A,C+,A
635,95389,Yosemite National Park,CA,B,B,NG,C,C+,B,A-,C,B,B-,A-,B-,A+
636,85625,Pearce,AZ,C+,C+,B-,B-,B,C-,B+,C+,B,B,B-,C+,C+
637,60527,Willowbrook,IL,A+,A+,A-,B,B,A+,A,B,B-,C+,A,A,A-
638,90220,Compton,CA,C+,D,C,D-,A-,C-,A,C-,A,C-,A,A,A
639,43948,Smithfield,OH,C+,B,B-,B+,C-,B+,NG,C+,C+,A+,C,C+,C+
640,78545,Falcon Heights,TX,C-,B,B,C,C,C,C-,B-,A-,A,B-,D+,B-
642,31025,Elko,GA,B+,B+,C,A+,C,B,A-,B+,A-,A,B-,C+,C+
643,44882,Sycamore,OH,B,C+,B,B+,B+,B+,C+,A,B-,A,C+,A-,B
644,56225,Clinton,MN,B,B,A+,A,B-,A-,C+,A-,C-,A,B-,C+,B
645,28748,Leicester,NC,B,B+,C,B+,B-,B-,C+,B,B,B+,A-,B,B-
647,69210,Ainsworth,NE,B,C+,NG,B+,B+,B,C+,A-,NG,A,C,B,B-
648,29676,Salem,SC,B+,B-,B-,B,C+,B-,C+,A-,A-,B+,B-,B+,B
649,14130,Pike,NY,C,B,A-,B-,B-,C+,C,B-,C-,B+,B-,B-,C-
652,68108,Omaha,NE,B+,B,C,B-,A,B+,A,C+,B-,B+,A-,A-,A
656,36907,Cuba,AL,D+,D+,C+,C-,C,D,B-,C-,B+,B+,C,C+,C-
657,06066,Vernon Rockville,CT,A-,B-,B+,C+,A,B+,B+,B-,B-,C+,A,A,B
658,39337,Little Rock,MS,C,B,NG,B+,C,B-,C,B,NG,A,C,C+,C-
660,62953,Joppa,IL,B-,B-,B-,B-,C,B-,B-,C,B,A,C,C+,A
662,56759,Strathcona,MN,B-,B+,A+,A,C+,B+,C,B,C-,A,C,C,C-
664,54927,Butte Des Morts,WI,B-,B+,B,B,A-,B,C,C+,C+,B+,C+,B-,C+
665,20011,Washington,DC,A-,B-,C-,C-,A,B,A,C,B,C+,A,A,A
666,10606,White Plains,NY,A-,A+,B,D+,B,A,A+,C-,B-,D+,A,A,A
667,52318,Norway,IA,C+,B+,A,A-,B-,B-,C,B-,B,B+,C,C-,C+
668,05340,Bondville,VT,B-,NG,B-,C-,B-,B-,C+,B-,C-,C,B,B,C+
670,88002,White Sands Missile Range,NM,B-,B,B-,C,C+,B-,A,C-,A-,C+,B,C+,B-
671,49322,Coral,MI,C,C+,B+,B,C,C+,C+,C,C-,A-,C+,B-,B
674,19440,Hatfield,PA,A,A+,B,B,A-,A,A-,B+,B,B-,A-,A,B
675,11234,Brooklyn,NY,A-,B,NG,D+,A-,B+,A,C+,B,C-,A,A,A
676,35962,Crossville,AL,B-,B-,B-,B+,B-,B,A-,B+,B,A,C+,C+,C-
678,43976,Hopedale,OH,C+,C-,B,B,B-,C+,B-,A-,C,A,C+,C+,B
679,79041,Hale Center,TX,B,B,B,A-,B-,B,A-,C+,B+,A,B-,D+,B
680,96091,Trinity Center,CA,C+,B+,NG,C-,C,C+,C,C,A+,C+,B,B,B-
681,44612,Bolivar,OH,B+,B+,A-,A-,A-,A,C+,B+,C+,A-,C+,A-,B-
683,19050,Lansdowne,PA,B+,C-,C+,C,A-,B,A,B-,B,B-,A-,A,B+
684,29210,Columbia,SC,B+,C,C-,B-,A,B-,A,C+,A-,B+,A-,B+,B
685,65080,Tebbetts,MO,B-,B,B-,B,C,B-,A-,B+,B-,B+,C,C+,C-
687,24230,Coeburn,VA,B-,B+,B,B+,B-,B-,C,C-,B,A,C,C+,B
688,44690,Winesburg,OH,C,B+,A,B,C-,B,C-,B+,C+,A-,B-,B-,C-
690,29715,Fort Mill,SC,A,A+,C+,A,B,A,A-,A-,A-,B+,A-,B,A-
691,65322,Blackwater,MO,B-,B+,B+,A-,C,B+,NG,B-,B-,A,C,B-,C+
692,17856,New Columbia,PA,C+,B,A,B+,C,B,C,B-,B-,B+,C+,B,C
693,77318,Willis,TX,B+,B,C+,B+,B+,B,B+,A,B+,B,B,B-,C+
694,98661,Vancouver,WA,B,C+,B-,C-,A,B-,A-,C+,B,C+,A,A,A
695,38455,Elkton,TN,C,C,B-,C,C-,C-,B+,B-,B+,A-,C,C+,C+
696,25053,Danville,WV,C,C,NG,B,B,C+,C,C-,B+,A-,C,B-,C+
697,15717,Blairsville,PA,B-,B-,B,B,A-,B-,B-,B,C-,B+,C+,B+,C+
698,87024,Jemez Pueblo,NM,C,C-,B-,B-,C,C,NG,C+,B+,B+,B,B,B
699,89319,Ruth,NV,C-,C+,NG,C+,B,C+,C+,C-,D+,B+,C+,C+,C-
700,47460,Spencer,IN,B,C+,NG,B+,A-,B-,C+,C,B-,A-,B,C+,A-
701,61042,Harmon,IL,B-,B-,A-,B+,B,B-,C+,B-,B-,A,C,B-,C+
703,58763,New Town,ND,B,C-,A,A-,A-,B-,NG,A+,C-,A,C-,D+,B+
704,28077,High Shoals,NC,C-,C+,C+,C,C,C,B-,C-,B+,B,C,B,C-
705,76571,Salado,TX,A-,A-,C,A,B+,A-,B,A,B+,B+,B-,C+,C
706,80026,Lafayette,CO,A+,A,B,B,A-,A+,A-,B+,C+,C,A+,A,A
707,41035,Dry Ridge,KY,B-,C,B+,B-,B,B-,C+,C,B-,A-,B,B-,B+
708,30669,Union Point,GA,C+,C-,C+,C+,B-,C-,A-,B-,B+,B+,B-,C+,C+
709,96774,Ookala,HI,D,C-,NG,D,C-,C-,NG,C-,D+,C,B-,C+,C-
710,25928,Stephenson,WV,D+,C,C,B-,C-,C-,C,D+,A-,A,C-,B-,D-
711,13642,Gouverneur,NY,C+,C,B,B-,A-,C+,B-,C+,C,B+,B-,B,B-
713,06880,Westport,CT,A+,A+,B-,C+,A-,A+,C+,B,C+,C-,A+,A,B+
714,46793,Waterloo,IN,B,B,B+,A-,A-,B,C+,B-,B-,A,C+,C+,B
715,78107,Berclair,TX,C-,B,NG,C,C-,C,B+,C-,A-,B+,C+,C-,B-
716,63131,Saint Louis,MO,A+,A+,C+,A-,A-,A+,C+,A,B,B-,A,A-,B+
717,24701,Bluefield,WV,B+,C+,C,B+,A-,B,B,B-,A,A,B,A-,B
718,77376,Votaw,TX,C-,C+,B,B,C-,D,C-,A-,B,A,C,C+,D-
719,32225,Jacksonville,FL,A-,C+,C,B-,A-,B,A,B+,A-,B,A-,A-,A-
720,62539,Illiopolis,IL,C+,B+,C,B+,B,C+,C+,C+,B,A-,C+,C-,C-
721,78834,Carrizo Springs,TX,B-,C-,NG,B,B+,C,B,A,B+,A,B-,D,C+
722,56347,Long Prairie,MN,B+,B,A,B+,B+,A-,B,A-,C,A,B+,B-,B
723,10518,Cross River,NY,A,A+,B,B-,C+,A+,C-,C,C+,C,A-,A,B-
724,66753,Mc Cune,KS,B,B-,B+,B+,B-,B,C+,B+,B+,A,C,C+,C+
725,41056,Maysville,KY,B,B,B,B,A-,B+,B-,B,C+,A-,B,B,B
726,14733,Falconer,NY,B-,B-,C+,B-,A-,B-,C+,B,C-,B+,C+,B-,B
727,24465,Monterey,VA,B,B,NG,B-,C+,B,C,A,NG,A-,B,B,C+
729,37072,Goodlettsville,TN,B+,B-,C-,B-,A-,B-,B+,B+,B-,B+,B,B-,A-
730,83627,Hammett,ID,C-,C,A-,D,C-,C,B+,D+,C+,C+,C,C+,C+
731,30725,Flintstone,GA,B-,B,B+,A-,C,B+,B-,B,B,A-,C+,B-,C-
734,28587,Vandemere,NC,C,B-,NG,B-,C-,C-,C+,C+,A-,B+,C+,B-,B
735,78064,Pleasanton,TX,B+,B-,C+,A-,A-,B-,A,A+,B+,A-,B+,D+,C+
736,63736,Benton,MO,C+,C+,C,B+,B-,C+,B-,B,B,A,C+,C+,C+
737,36782,Sweet Water,AL,B-,B-,C,A-,C,B-,A-,B-,A-,A,C-,B-,C+
738,30511,Baldwin,GA,B-,B-,A+,B,B-,B+,B+,C,B,A-,B-,B-,C+
740,95462,Monte Rio,CA,B,A,B-,C-,B-,B,B,C-,A,C-,A,A,B+
741,37617,Blountville,TN,B-,B-,C+,B,B-,B-,C+,B-,B+,A-,C,C+,B-
744,92567,Nuevo,CA,C-,C,C+,C-,C,C,A,C,B+,C,B,B,C+
745,53711,Madison,WI,A+,A,B-,B+,A,A+,A-,A-,C+,B,A,A,A
748,13863,Willet,NY,C+,B-,B+,B,C+,B,C+,B-,C-,A-,B-,A-,C+
749,48081,Saint Clair Shores,MI,A-,B,B-,B+,A-,B+,B-,B+,B-,A-,A-,B+,A-
751,42743,Greensburg,KY,B-,C+,A,B+,B-,B,C+,B,B-,A,C+,C+,B
752,43722,Buffalo,OH,C-,C+,C+,B,B-,C-,C-,C-,A-,A+,C-,C+,C-
754,44437,Mc Donald,OH,B-,B,C+,B,C,B,C+,B-,C+,A,B-,B+,A-
755,13092,Locke,NY,B,B-,B,B+,A-,B-,C+,B+,C-,B+,B-,B,A-
758,71429,Florien,LA,B-,B,B-,A,C,B-,B+,B+,NG,A,C,C-,B
759,24089,Fieldale,VA,C+,B,NG,B,B-,B-,A-,B-,B,A-,C+,B-,C-
760,75459,Howe,TX,B+,B+,C+,A-,B-,B,B+,B,B+,A-,B-,C+,B
761,70776,Saint Gabriel,LA,B,B-,B-,A-,A,B-,A,A,B,A-,C,B,C
